Long,Lat,Depth,T,Sal,CDOM,Turb,TA,O2,pH,pCO2 ,Ar ,SPM,POC,DIC,nDIC,AOU,Temp K,CO2_Gas_conc_?mol_L
188.73,67.70,21,1.22,32.83,,,,291.40,7.91,610.55,0.80,,,1909.83,2036.07,51.45,274.37,27.104
188.73,67.70,45,1.23,32.87,,,,177.30,7.62,1255.04,0.42,5.02,,1997.47,2126.91,165.36,274.38,55.714
188.714,67.785,3.36,4.39,32.17,0.89,0.79,2191.3,304.33,8.11,324.32,1.69,12.94,,2038.30,2217.75,14.22,277.54,14.233
188.714,67.785,9.949,4.26,32.19,0.89,0.56,2191.3,297.18,8.08,342.60,1.61,,,2047.00,2225.88,22.33,277.41,15.043
188.714,67.785,20.22,4.19,32.38,0.89,0.65,2202.7,289.69,8.03,398.08,1.44,,,2077.70,2245.74,29.87,277.34,17.483
188.714,67.785,30.933,4.04,32.44,0.89,1.07,2216.6,270.63,7.97,461.58,1.28,,,2110.60,2277.31,49.94,277.19,20.282
188.714,67.785,39.579,3.20,32.92,1.35,9.12,2234.4,218.47,7.81,686.47,0.90,,,2178.60,2316.60,107.55,276.35,30.256
188.714,67.785,47.343,3.19,32.91,1.41,13.06,2234.5,220.75,7.81,682.74,0.90,19.94,,2178.10,2316.08,105.41,276.34,30.094
186.976,67.82,2,6.11,31.95,,,2294.0,327.42,8.16,202.00,2.75,0.40,,2027.00,2220.50,-21.11,279.26,8.810
186.976,67.82,5,5.98,32.06,,,2302.0,329.55,8.16,200.00,2.77,,,2032.00,2218.34,-22.55,279.13,8.727
186.976,67.82,10,5.80,32.22,,,2313.0,333.51,8.17,196.00,2.81,,,2038.00,2213.84,-25.58,278.95,8.558
186.976,67.82,15,5.26,32.63,,,2343.0,345.34,8.18,185.00,2.95,,,2054.00,2203.19,-34.42,278.41,8.094
186.976,67.82,24,2.72,32.84,,,2357.0,315.78,7.86,392.00,1.55,,,2219.00,2364.95,14.35,275.87,17.308
186.976,67.82,44,1.99,32.97,,,2367.0,196.89,7.51,952.00,0.71,3.70,,2349.00,2493.63,138.98,275.14,42.144
189.508,68.001,4,6.88,31.57,,,2293.0,319.61,8.11,244.00,0.79,0.74,,2259.00,2504.43,-17.87,280.03,10.613
189.508,68.001,14,2.88,32.59,,,2294.0,321.80,8.11,199.00,2.48,,,2057.00,2209.11,7.65,276.03,8.781
189.508,68.001,21,2.22,32.64,,,2300.0,332.74,8.12,184.00,2.51,,,2056.00,2204.66,2.04,275.37,8.139
189.508,68.001,25,2.10,32.70,,,2334.0,338.48,7.99,270.00,2.60,,,2078.00,2224.16,-2.84,275.25,11.948
189.508,68.001,37,2.07,32.72,,,2342.0,283.27,7.77,485.00,1.99,,,2152.00,2301.96,52.57,275.22,21.464
189.508,68.001,47,1.95,32.77,,,2352.0,219.62,7.57,824.00,1.22,6.65,,2250.00,2403.11,117.10,275.10,36.483
190.492,68.007,2,3.82,32.51,,,2337.0,427.59,8.24,144.00,3.28,0.57,,2013.00,2167.18,-105.46,276.97,6.333
190.492,68.007,5,3.82,32.51,,,2336.0,428.54,8.25,143.00,3.28,,,2011.00,2165.03,-106.41,276.97,6.289
190.492,68.007,10,3.82,32.51,,,2336.0,428.39,8.25,141.00,3.28,,,2008.00,2161.80,-106.26,276.97,6.201
190.492,68.007,14,3.68,32.52,,,2336.0,427.75,8.24,144.00,3.26,,,2013.00,2166.51,-104.54,276.83,6.336
190.492,68.007,25,2.87,32.59,,,2338.0,366.58,8.03,251.00,2.16,,,2130.00,2287.51,-37.05,276.02,11.076
190.492,68.007,50,2.29,32.66,,,2342.0,278.19,7.76,507.00,1.21,,,2245.00,2405.85,55.95,275.44,22.420
